Year,Player Name,Team Name,Matches,Runs,Innings,Strike Rate,Batting Average,Highest Score,Average,Centuries,Half Centuries,Ducks
2021,N Pooran,Punjab Kings,12,11,-,85,32,7.72,111.84,-,-,4
2021,IC Porel,Punjab Kings,1,-,-,-,-,-,-,-,-,-
2021,Prabhsimran Singh,Punjab Kings,2,2,-,19,12,9.5,82.6,-,-,-
2021,M Prasidh Krishna,Kolkata Knight Riders,10,2,1,-,0*,-,-,-,-,1
2021,K Rabada,Delhi Capitals,15,3,3,13,9*,-,216.66,-,-,-
2021,AM Rahane,Delhi Capitals,2,1,-,8,8,8,100,-,-,-
2021,KL Rahul,Punjab Kings,13,13,3,626,98*,62.6,138.8,-,6,-
2021,SK Raina,Chennai Super Kings,12,11,2,160,54,17.77,125,-,1,-
2021,N Rana,Kolkata Knight Riders,17,16,3,383,80,29.46,121.97,-,2,2
2021,AU Rashid,Punjab Kings,1,-,-,-,-,-,-,-,-,-
2021,Rashid Khan,Sunrisers Hyderabad,14,10,2,83,22,10.37,120.28,-,-,3
2021,Ravi Bishnoi,Punjab Kings,9,1,-,1,1,1,25,-,-,-
2021,AT Rayudu,Chennai Super Kings,16,13,4,257,72*,28.55,151.17,-,2,1
2021,JA Richardson,Punjab Kings,3,2,-,15,15,7.5,62.5,-,-,1
2021,KW Richardson,Royal Challengers Bangalore,1,-,-,-,-,-,-,-,-,-
2021,JJ Roy,Sunrisers Hyderabad,5,5,-,150,60,30,123.96,-,1,-
2021,AD Russell,Kolkata Knight Riders,10,9,2,183,54,26.14,152.5,-,1,-
2021,Sachin Baby,Royal Challengers Bangalore,1,1,-,7,7,7,41.17,-,-,-
2021,WP Saha,Sunrisers Hyderabad,9,9,-,131,44,14.55,93.57,-,-,1
2021,Shahbaz Ahmed,Royal Challengers Bangalore,11,7,-,59,14,8.42,111.32,-,-,-
2021,NA Saini,Royal Challengers Bangalore,2,1,-,2,2,2,50,-,-,-
2021,C Sakariya,Rajasthan Royals,14,6,1,16,7,3.2,64,-,-,1
2021,DR Sams,Royal Challengers Bangalore,2,2,1,6,3*,6,100,-,-,-
2021,SV Samson,Rajasthan Royals,14,14,2,484,119,40.33,136.72,1,2,-
2021,Sandeep Sharma,Sunrisers Hyderabad,7,2,1,8,8*,8,114.28,-,-,1
2021,S Sandeep Warrier,Kolkata Knight Riders,1,-,-,-,-,-,-,-,-,-
2021,Jalaj S Saxena,Punjab Kings,1,-,-,-,-,-,-,-,-,-
2021,TL Seifert,Kolkata Knight Riders,1,1,-,2,2,2,50,-,-,-
2021,M Shahrukh Khan,Punjab Kings,11,10,3,153,47,21.85,134.21,-,-,1
