Year,Player Name,Team Name,Mat,Inns,Balls,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,5,10,Ct,St
2011,SD Chitnis,Kings XI Punjab,1,-,0,-,-,-,-,0.00,-,-,-,-,-,-
2011,DT Christian,Deccan Chargers,14,14,274,-,350,11,2/13,31.81,7.66,24.9,-,-,7,-
2011,KH Devdhar,Deccan Chargers,1,-,0,-,-,-,-,0.00,-,-,-,-,-,1
2011,AB de Villiers,Royal Challengers Bangalore,16,-,0,-,-,-,-,0.00,-,-,-,-,7,2
2011,S Dhawan,Deccan Chargers,14,2,12,-,11,1,1/7,11.00,5.5,12,-,-,6,-
2011,MS Dhoni,Chennai Super Kings,16,-,0,-,-,-,-,0.00,-,-,-,-,5,5
2011,TM Dilshan,Royal Challengers Bangalore,10,6,72,-,108,1,1/30,108.00,9,72,-,-,1,-
2011,AB Dinda,Delhi Daredevils,6,5,102,-,152,5,2/42,30.40,8.94,20.4,-,-,-,-
2011,ND Doshi,Rajasthan Royals,3,3,32,-,62,1,1/15,62.00,11.62,32,-,-,-,-
2011,R Dravid,Rajasthan Royals,12,-,0,-,-,-,-,0.00,-,-,-,-,2,-
2011,JP Duminy,Deccan Chargers,10,8,108,-,143,4,1/3,35.75,7.94,27,-,-,2,-
2011,JP Faulkner,Pune Warriors,1,1,12,1,9,1,1/9,9.00,4.5,12,-,-,-,-
2011,FY Fazal,Rajasthan Royals,2,-,0,-,-,-,-,0.00,-,-,-,-,-,-
2011,CJ Ferguson,Pune Warriors,5,-,0,-,-,-,-,0.00,-,-,-,-,1,-
2011,AJ Finch,Delhi Daredevils,6,1,12,-,13,-,-,0.00,6.5,-,-,-,4,-
2011,JEC Franklin,Mumbai Indians,8,6,61,-,99,3,2/35,33.00,9.73,20.3,-,-,2,-
2011,G Gambhir,Kolkata Knight Riders,15,-,0,-,-,-,-,0.00,-,-,-,-,1,-
2011,SC Ganguly,Pune Warriors,4,-,0,-,-,-,-,0.00,-,-,-,-,1,-
